epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,9912.38,0.78175,0.57052,1.12564,0.89407,0.88222,0.91345,0.76029,0.693,0.47875,1.05941,0.003367,0.003367,0.003367
69,10057.7,0.77601,0.57157,1.12543,0.89621,0.88073,0.91342,0.76005,0.69099,0.47813,1.05838,0.003268,0.003268,0.003268
70,10203,0.76932,0.55951,1.12112,0.89813,0.87749,0.91335,0.76019,0.68967,0.47637,1.05733,0.003169,0.003169,0.003169
71,10348.1,0.76912,0.55714,1.12383,0.90119,0.87707,0.91304,0.76032,0.68861,0.47612,1.05611,0.00307,0.00307,0.00307
72,10493.3,0.76107,0.55089,1.11592,0.89963,0.87895,0.91364,0.76119,0.68847,0.47542,1.05657,0.002971,0.002971,0.002971
73,10638.6,0.75845,0.54182,1.11431,0.8965,0.88023,0.91382,0.76205,0.68828,0.47641,1.05661,0.002872,0.002872,0.002872
74,10784.1,0.75493,0.54274,1.11218,0.89566,0.88039,0.91395,0.7617,0.6882,0.47521,1.05694,0.002773,0.002773,0.002773
75,10929.7,0.75038,0.54435,1.10899,0.89579,0.88088,0.91404,0.76239,0.68768,0.47382,1.05636,0.002674,0.002674,0.002674
76,11075.2,0.75138,0.53286,1.10952,0.89952,0.87784,0.91429,0.76284,0.68687,0.47224,1.05563,0.002575,0.002575,0.002575
77,11220.6,0.74033,0.53002,1.10828,0.89501,0.88141,0.91418,0.76295,0.68621,0.47237,1.05487,0.002476,0.002476,0.002476
78,11365.9,0.74176,0.52849,1.10831,0.89293,0.88188,0.91445,0.7631,0.68544,0.47169,1.05387,0.002377,0.002377,0.002377
79,11511.3,0.73532,0.52303,1.10219,0.89187,0.88056,0.91411,0.76336,0.6854,0.4703,1.05371,0.002278,0.002278,0.002278
80,11656.6,0.73038,0.52061,1.09834,0.89352,0.88143,0.91493,0.7644,0.6854,0.47009,1.05371,0.002179,0.002179,0.002179
81,11802.1,0.72879,0.51637,1.09474,0.89549,0.88109,0.91509,0.76411,0.68502,0.46987,1.05349,0.00208,0.00208,0.00208
82,11947.4,0.72411,0.51037,1.09516,0.89605,0.88176,0.91522,0.76454,0.68478,0.46959,1.05297,0.001981,0.001981,0.001981
83,12092.9,0.72076,0.51098,1.09067,0.89749,0.88144,0.91591,0.7651,0.68449,0.46893,1.05261,0.001882,0.001882,0.001882
84,12238.4,0.70619,0.49289,1.08601,0.89906,0.8805,0.91543,0.76529,0.68396,0.46815,1.05253,0.001783,0.001783,0.001783
85,12383.7,0.7095,0.49742,1.08674,0.89709,0.8812,0.91587,0.7657,0.68358,0.46788,1.05212,0.001684,0.001684,0.001684
86,12528.8,0.70294,0.49071,1.08395,0.89826,0.88046,0.916,0.76548,0.68351,0.46821,1.05209,0.001585,0.001585,0.001585
87,12673.9,0.70273,0.48344,1.08222,0.90029,0.88039,0.91681,0.76567,0.68364,0.46886,1.05211,0.001486,0.001486,0.001486
88,12819.4,0.69721,0.49041,1.08295,0.90049,0.88138,0.91727,0.7661,0.68333,0.46873,1.05217,0.001387,0.001387,0.001387
89,12964.9,0.69424,0.48153,1.08079,0.90036,0.88188,0.91703,0.76622,0.68281,0.46898,1.05162,0.001288,0.001288,0.001288
90,13110.4,0.68512,0.48039,1.0748,0.90108,0.88051,0.91721,0.76617,0.68272,0.46915,1.0517,0.001189,0.001189,0.001189
91,13256.3,0.6072,0.35996,1.02957,0.90209,0.8806,0.91726,0.76653,0.68253,0.46887,1.05154,0.00109,0.00109,0.00109
92,13401.2,0.59443,0.347,1.02426,0.90215,0.88135,0.91765,0.76707,0.68253,0.46801,1.05165,0.000991,0.000991,0.000991
93,13546,0.58203,0.3378,1.01484,0.90246,0.88151,0.91799,0.76756,0.68278,0.46729,1.05222,0.000892,0.000892,0.000892
94,13690.6,0.57829,0.33142,1.00617,0.90407,0.88025,0.91807,0.76754,0.68292,0.46657,1.05249,0.000793,0.000793,0.000793
95,13835.2,0.57427,0.33356,1.00635,0.90471,0.88065,0.91822,0.76771,0.68284,0.4668,1.0526,0.000694,0.000694,0.000694
96,13980,0.56359,0.32333,0.99967,0.90427,0.88111,0.91851,0.76763,0.68308,0.46631,1.05304,0.000595,0.000595,0.000595
97,14124.6,0.56111,0.32098,0.9969,0.90256,0.88245,0.91868,0.76776,0.68311,0.46602,1.0535,0.000496,0.000496,0.000496
98,14269.4,0.5493,0.31346,0.99043,0.90327,0.88245,0.9188,0.76794,0.68304,0.46598,1.05372,0.000397,0.000397,0.000397
99,14414.1,0.54848,0.31387,0.99117,0.90576,0.88035,0.91899,0.76809,0.68315,0.46601,1.05424,0.000298,0.000298,0.000298
100,14558.8,0.54421,0.30922,0.98985,0.90367,0.88203,0.91904,0.76854,0.68285,0.46565,1.05405,0.000199,0.000199,0.000199
